Benchmark,Matrix,Configuration,Elements,Time estimate (ns),Throughput (GFLOP/s),nnz,Samples
spmv,coAuthorsCiteseer,eigen/csc_map,3256536,2488805.9,1.3084732722628147,1628268,2
spmv,coAuthorsCiteseer,eigen/csr_map,3256536,2318129.35,1.404812030873083,1628268,2
spmv,coAuthorsCiteseer,faer/csc,3256536,2450573.75,1.3288871636693242,1628268,2
spmv,coAuthorsCiteseer,faer/csr,3256536,2582562.4375,1.2609708685891161,1628268,2
spmv,coAuthorsCiteseer,mkl/csc_ie,3256536,3745000.3,0.8695689557087618,1628268,2
spmv,coAuthorsCiteseer,mkl/csr_ie,3256536,1312821.909375,2.480561892473558,1628268,2
spmv,coAuthorsCiteseer,petsc/csr,3256536,1378954.0875,2.3615985691764374,1628268,2
spmv,coAuthorsCiteseer,psblas/csc,3256536,2204758.2875,1.4770489892080743,1628268,2
spmv,coAuthorsCiteseer,psblas/csr,3256536,2185156.89375,1.4902984812277624,1628268,2
spmv,coPapersCiteseer,eigen/csc_map,64146880,30773198.9,2.084504773405276,32073440,2
spmv,coPapersCiteseer,eigen/csr_map,64146880,28679933.0,2.236646787145563,32073440,2
spmv,coPapersCiteseer,faer/csc,64146880,30073885.3,2.132976147248922,32073440,2
spmv,coPapersCiteseer,faer/csr,64146880,26069560.3,2.460604600224116,32073440,2
spmv,coPapersCiteseer,mkl/csc_ie,64146880,29438970.6,2.178978364141577,32073440,2
spmv,coPapersCiteseer,mkl/csr_ie,64146880,24423478.6,2.626443229098413,32073440,2
spmv,coPapersCiteseer,petsc/csr,64146880,24288695.1,2.6410179606561073,32073440,2
spmv,coPapersCiteseer,psblas/csc,64146880,29756286.8,2.1557420934657747,32073440,2
spmv,coPapersCiteseer,psblas/csr,64146880,28696969.8,2.2353189360083583,32073440,2
spmv,coPapersDBLP,eigen/csc_map,60982916,33076567.8,1.8436893564271197,30491458,2
spmv,coPapersDBLP,eigen/csr_map,60982916,29579880.8,2.0616349474944466,30491458,2
spmv,coPapersDBLP,faer/csc,60982916,31879199.5,1.912937493929231,30491458,2
spmv,coPapersDBLP,faer/csr,60982916,28163003.1,2.165355583119614,30491458,2
spmv,coPapersDBLP,mkl/csc_ie,60982916,31251027.8,1.9513891315920173,30491458,2
spmv,coPapersDBLP,mkl/csr_ie,60982916,25508502.0,2.3906898178497507,30491458,2
