kernel,matrix,backend,format,m,saad_tol,saad_estimate,rel_l2_vs_faer,norm_y,status
lanczos_two_pass,caidaRouterLevel,psblas,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,1.86235565202773989e-15,2.53056423914902467e2,ok
lanczos_two_pass,caidaRouterLevel,psblas,csc,11,1.00000000000000004e-10,1.45927154704231800e-11,2.05248858424982188e-15,2.53056423914902325e2,ok
lanczos_one_pass,citationCiteseer,faer,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,0.00000000000000000e0,2.99913901227511758e2,ok
lanczos_one_pass,citationCiteseer,faer,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.47200278883552095e-15,2.99913901227512213e2,ok
lanczos_one_pass,citationCiteseer,eigen,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,8.30554555501915339e-16,2.99913901227511815e2,ok
lanczos_one_pass,citationCiteseer,eigen,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,1.27793269709748781e-15,2.99913901227512042e2,ok
lanczos_one_pass,citationCiteseer,petsc,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.28965687662429114e-15,2.99913901227512042e2,ok
lanczos_one_pass,citationCiteseer,psblas,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.61383963903528235e-15,2.99913901227512156e2,ok
lanczos_one_pass,citationCiteseer,psblas,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,1.83294619576741634e-15,2.99913901227512270e2,ok
lanczos_two_pass,citationCiteseer,faer,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,0.00000000000000000e0,2.99913901227511758e2,ok
lanczos_two_pass,citationCiteseer,faer,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.47197574131769875e-15,2.99913901227512213e2,ok
lanczos_two_pass,citationCiteseer,eigen,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,8.10326229275510917e-16,2.99913901227511758e2,ok
lanczos_two_pass,citationCiteseer,eigen,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,1.30260735784668776e-15,2.99913901227512042e2,ok
lanczos_two_pass,citationCiteseer,petsc,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.29867144646036317e-15,2.99913901227512042e2,ok
lanczos_two_pass,citationCiteseer,psblas,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.63732192899290664e-15,2.99913901227512156e2,ok
lanczos_two_pass,citationCiteseer,psblas,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,1.91729674579443067e-15,2.99913901227512270e2,ok
lanczos_one_pass,coAuthorsCiteseer,faer,csc,11,1.00000000000000004e-10,1.69750920276713560e-11,0.00000000000000000e0,2.75315845363028529e2,ok
lanczos_one_pass,coAuthorsCiteseer,faer,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,1.10566183052539356e-15,2.75315845363028245e2,ok
lanczos_one_pass,coAuthorsCiteseer,eigen,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,9.85689230601812114e-16,2.75315845363028245e2,ok
lanczos_one_pass,coAuthorsCiteseer,eigen,csc,11,1.00000000000000004e-10,1.69750920276713560e-11,9.22075071441612822e-16,2.75315845363028359e2,ok
lanczos_one_pass,coAuthorsCiteseer,petsc,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,5.96628249728737963e-16,2.75315845363028473e2,ok
lanczos_one_pass,coAuthorsCiteseer,psblas,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,8.53725082730906951e-16,2.75315845363028302e2,ok
lanczos_one_pass,coAuthorsCiteseer,psblas,csc,11,1.00000000000000004e-10,1.69750920276713560e-11,8.72836679883798428e-16,2.75315845363028302e2,ok
lanczos_two_pass,coAuthorsCiteseer,faer,csc,11,1.00000000000000004e-10,1.69750920276713560e-11,0.00000000000000000e0,2.75315845363028529e2,ok
lanczos_two_pass,coAuthorsCiteseer,faer,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,1.10563273584372488e-15,2.75315845363028245e2,ok
lanczos_two_pass,coAuthorsCiteseer,eigen,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,1.04210142995676475e-15,2.75315845363028245e2,ok
lanczos_two_pass,coAuthorsCiteseer,eigen,csc,11,1.00000000000000004e-10,1.69750920276713560e-11,9.76396335862013278e-16,2.75315845363028302e2,ok
lanczos_two_pass,coAuthorsCiteseer,petsc,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,6.65624517845536392e-16,2.75315845363028473e2,ok
lanczos_two_pass,coAuthorsCiteseer,psblas,csr,11,1.00000000000000004e-10,1.69750920276713560e-11,7.90898792913595644e-16,2.75315845363028302e2,ok
lanczos_two_pass,coAuthorsCiteseer,psblas,csc,11,1.00000000000000004e-10,1.69750920276713560e-11,8.12172100447073959e-16,2.75315845363028302e2,ok
lanczos_one_pass,coPapersCiteseer,faer,csc,10,1.00000000000000004e-10,1.54741866408138628e-11,0.00000000000000000e0,3.80226799160724511e2,ok
lanczos_one_pass,coPapersCiteseer,faer,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,1.27209188103936328e-15,3.80226799160724113e2,ok
lanczos_one_pass,coPapersCiteseer,eigen,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,6.29619654184849444e-16,3.80226799160724681e2,ok
lanczos_one_pass,coPapersCiteseer,eigen,csc,10,1.00000000000000004e-10,1.54741866408138628e-11,6.05505401286269351e-16,3.80226799160724568e2,ok
lanczos_one_pass,coPapersCiteseer,petsc,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,6.12543828117441126e-16,3.80226799160724283e2,ok
lanczos_one_pass,coPapersCiteseer,psblas,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,3.48442809911196039e-16,3.80226799160724454e2,ok
lanczos_one_pass,coPapersCiteseer,psblas,csc,10,1.00000000000000004e-10,1.54741866408138628e-11,1.08003027736606667e-15,3.80226799160724170e2,ok
lanczos_two_pass,coPapersCiteseer,faer,csc,10,1.00000000000000004e-10,1.54741866408138628e-11,0.00000000000000000e0,3.80226799160724511e2,ok
lanczos_two_pass,coPapersCiteseer,faer,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,1.27208967879164455e-15,3.80226799160724113e2,ok
